experiment,model_file,strategy_return,hs300_return,excess_return,max_drawdown,drawdown_days,recovery_days,recovered,exp_key,exp_dir_norm,score
model/search_itransformer_74_3\exp_48,best_model_sliding.pth,5.649055710000006,6.39611821790913,-0.7470625079091242,8.054647017953267,11,,False,search_itransformer_74_3/exp_48,model/search_itransformer_74_3/exp_48,-0.3808905737587147
model/search_itransformer_74_3\exp_57,best_model_sliding.pth,5.374198940000019,6.39611821790913,-1.0219192779091113,7.59017941274286,3,,False,search_itransformer_74_3/exp_57,model/search_itransformer_74_3/exp_57,-0.43395003119558373
model/search_itransformer_74_3\exp_45,best_model_sliding.pth,5.31850529000002,6.39611821790913,-1.0776129279091107,9.030961093857474,11,,False,search_itransformer_74_3/exp_45,model/search_itransformer_74_3/exp_45,-0.9051700905299676
model/search_itransformer_74_3\exp_71,best_model_sliding.pth,5.214094100000022,6.39611821790913,-1.1820241179091084,10.030335009099241,11,,False,search_itransformer_74_3/exp_71,model/search_itransformer_74_3/exp_71,-1.278070098102496
model/search_itransformer_74_3\exp_71,best_model.pth,5.214094100000022,6.39611821790913,-1.1820241179091084,10.030335009099241,11,,False,search_itransformer_74_3/exp_71,model/search_itransformer_74_3/exp_71,-1.278070098102496
model/search_itransformer_74_3\exp_32,best_model_sliding.pth,5.160571630000055,6.39611821790913,-1.2355465879090755,2.7033666143626514,3,6.0,True,search_itransformer_74_3/exp_32,model/search_itransformer_74_3/exp_32,0.882554691318504
model/search_itransformer_74_3\exp_26,best_model_sliding.pth,5.062588590000039,6.39611821790913,-1.3335296279090914,6.293355950653195,11,,False,search_itransformer_74_3/exp_26,model/search_itransformer_74_3/exp_26,-0.2630302375686704
model/search_itransformer_74_3\exp_59,best_model.pth,4.880714180000023,6.39611821790913,-1.5154040379091072,7.779471376849903,3,,False,search_itransformer_74_3/exp_59,model/search_itransformer_74_3/exp_59,-0.8361769524276936
model/search_itransformer_74_3\exp_69,best_model.pth,4.873541790000013,6.39611821790913,-1.522576427909117,8.131461339354454,10,,False,search_itransformer_74_3/exp_69,model/search_itransformer_74_3/exp_69,-0.946794614179066
model/search_itransformer_74_3\exp_46,best_model_sliding.pth,4.866419190000015,6.39611821790913,-1.529699027909115,7.59017941274286,3,,False,search_itransformer_74_3/exp_46,model/search_itransformer_74_3/exp_46,-0.7893958561955863
